hour,ust_inflow,ust_outflow,net_outflow,whale_outflow,small_outflow,hhi,top_share
2022-04-25 10:00:00+00:00,8494396.147608,5822146.332294,-2672249.8153140005,45875.525112,5776270.807182,0.08772655830011047,0.007879486789526373
2022-04-25 11:00:00+00:00,4469846.198932,12732486.211113,8262640.012181,491583.802254,12240902.408859,0.23388526603708817,0.03860862632036014
2022-04-25 12:00:00+00:00,14637468.172476,19764903.147148,5127434.974671999,213816.338828,19551086.80832,0.08527088634592189,0.010817980601076353
2022-04-25 13:00:00+00:00,14036339.071812,10447698.748295,-3588640.3235170003,1231041.329115,9216657.41918,0.04855671251534793,0.11782894575859573
2022-04-25 14:00:00+00:00,18215825.408938,18967352.200171,751526.7912329994,1780398.334782,17186953.865389,0.09877846528478255,0.09386646675786137
2022-04-25 15:00:00+00:00,91261235.151111,17573186.62162,-73688048.529491,1867569.2413159998,15705617.380304,0.06905224482568466,0.10627379550037672
2022-04-25 16:00:00+00:00,111963003.087829,116931511.719008,4968508.631179005,1271597.917004,115659913.802004,0.732159254463913,0.010874724001342857
2022-04-25 17:00:00+00:00,43953618.548894,38370153.215661004,-5583465.333232999,938276.590887,37431876.624774,0.6975772138484726,0.024453292787583576
2022-04-25 18:00:00+00:00,21548857.367667,21426737.144809,-122120.22285800055,54532.027715000004,21372205.117094,0.1608724849702661,0.0025450458157233397
2022-04-25 19:00:00+00:00,17116291.680445,12904413.885715,-4211877.79473,1852140.7569880001,11052273.128727,0.0741065051240063,0.14352769319017994
2022-04-25 20:00:00+00:00,19804612.530575,6114344.920852,-13690267.609723,606364.635087,5507980.285765,0.0641250416890775,0.09917082580982468
2022-04-25 21:00:00+00:00,10167663.616246,5774462.673132,-4393200.943114,109668.594088,5664794.079044,0.06666442132383812,0.018991999826802424
2022-04-25 22:00:00+00:00,17125029.964855,16680701.067029001,-444328.8978259992,283133.690437,16397567.376592001,0.11076820868026717,0.016973728460168907
2022-04-25 23:00:00+00:00,32642976.758436,23075440.916239,-9567535.842197001,1208659.426989,21866781.48925,0.44361863235923066,0.05237860595497544
2022-04-26 00:00:00+00:00,66555836.887351,8959468.37109,-57596368.516261,1358113.251826,7601355.119264,0.0753227124212077,0.151584133742611
2022-04-26 01:00:00+00:00,45767843.829114,27939392.551677,-17828451.277436998,152175.298957,27787217.25272,0.2891830086567045,0.005446621599790866
2022-04-26 02:00:00+00:00,4582257.731062,3044602.971014,-1537654.7600479997,13613.575281,3030989.395733,0.10714629106751745,0.004471379490399045
2022-04-26 03:00:00+00:00,49677424.612160005,8476437.613111,-41200986.99904901,4920225.516193,3556212.096918,0.3329135410793577,0.5804591198291367
2022-04-26 04:00:00+00:00,20220146.581839,25637302.990441002,5417156.408602003,178500.006644,25458802.983797,0.13886859028014906,0.006962511099960656
2022-04-26 05:00:00+00:00,8999231.99072,6023243.723584,-2975988.267136,405466.76602,5617776.957564,0.08770488539409757,0.06731701133600083
2022-04-26 06:00:00+00:00,51794421.332577996,8875913.561426999,-42918507.771151,945619.556418,7930294.005009,0.15256208058610932,0.10653771579384003
2022-04-26 07:00:00+00:00,25483312.750847,11444492.219696,-14038820.531151,285850.516482,11158641.703214,0.19498832526992482,0.024977125327592126
